address,missed_blocks,block_completion_rate,Stake Size,uptime_percentage,signed_compliance,dummy_slashed
cosmosvalcons1qqqqrezrl53hujmpdch6d805ac75n220ku09rl,0.0,100.0,281810293214.0,100.0,95.0,0
cosmosvalcons1qq92t2l4jz5pt67tmts8ptl4p0jhr6utx5xa8y,0.32,99.68,176092289291.0,99.68,94.68,0
cosmosvalcons1qq0lw964szlkhgxulsak9k3g7c3j8jwvvd0600,0.0,100.0,11294998.0,100.0,95.0,0
cosmosvalcons1qzp59h4v5sgxf5d72v6gspj475m6nrluy4grs9,0.0,100.0,,100.0,95.0,0
cosmosvalcons1qzgr0sk82ce080u78xs3cr5pat9jvtv7k85ajv,0.0,100.0,117537626238.0,100.0,95.0,0
cosmosvalcons1qrxwan7srvknxwsm264l0nlc56uw6fd3mq0s7v,0.02,99.98,2286480804197.0,99.98,94.98,1
cosmosvalcons1qxdeeg55f57vxmruwv5rau743etv3fw530uf8x,0.04,99.96000000000001,4333366464355.0,99.96000000000001,94.96000000000001,1
cosmosvalcons1qfrrfn5hhr7r7mrfvju4qs54epaaxd8cz5x46j,0.0,100.0,3476419404.0,100.0,95.0,0
cosmosvalcons1q23y3jrv0rkk4qjd2y9gk74yc8ffp5kutd0kwy,0.0,100.0,16.0,100.0,95.0,0
cosmosvalcons1q2msmge7mw3jpj8v8vek5vkjnk5m5fg4janhzv,65.21000000000001,34.79,,34.79,29.79,0
cosmosvalcons1qvntfgwexyztmdfdgr768prmas8xgser8g94cd,0.0,100.0,52108328.0,100.0,95.0,0
cosmosvalcons1qj6zmfv6gdrajwznv5vwyguzpr92te9nc93dvx,0.06999999999999999,99.92999999999999,302497330.0,99.92999999999999,94.92999999999999,0
cosmosvalcons1qkzeaxrz5e5qm04t2ypk9sgtzesmjap63hewkf,0.2,99.8,9112539075.0,99.8,94.8,1
cosmosvalcons1qcyakfwwhsxckjg593wykuu933s35ssp5p4p5d,0.02,99.98,2814703.0,99.98,94.98,1
cosmosvalcons1qex0qkzhk4t0a436cv5zrlusgvfdpukghc302f,0.03,99.97,1015440.0,99.97,94.97,0
cosmosvalcons1qmeevnj047ym0kqc2fdsal2680ffhncpp8avs5,0.0,100.0,3282929999.0,100.0,95.0,0
cosmosvalcons1qa75pzrewfn5vuxug9ff72cvhcnuyk4n50mxtn,4.859999999999999,95.14,,95.14,90.14,0
