Consensus Address,Operator Address,Stake Size
cosmosvalcons1nlaveeu4jndxcshnlz9r07935qsaug769qjkst,cosmosvaloper1q9p73lx07tjqc34vs8jrsu5pg3q4ha534uqv4w,112892992
cosmosvalcons17lnejmvgy86cdmauz5gp688qctpxuw07sw8z5q,cosmosvaloper1qtxec3ggeuwnca9mmngw7vf6ctw54cppey02fs,395696925
cosmosvalcons15q7uz2xn3kctchcc4cv89uwt9c0agy2h524xk9,cosmosvaloper1qdxmyqkvt8jsxpn5pp45a38ngs36mn2604cqk9,2490313588
cosmosvalcons1kq9xxgmn0uepav9c6kwxl4yh599kpyu28e7ee6,cosmosvaloper1qwl879nx9t6kef4supyazayf7vjhennyh568ys,263406230088
cosmosvalcons1nm55mwux7u3nwxft72gmpem8l5njnuq274qrz6,cosmosvaloper1qs8tnw2t8l6amtzvdemnnsq9dzk0ag0z52uzay,25827206297
cosmosvalcons1p2a6xmz5m5x2dfus4muk5qw58yhrvdzltw4q4u,cosmosvaloper1q6d3d089hg59x6gcx92uumx70s5y5wadklue8s,1031488318958
cosmosvalcons1w3w0w9fvy8u49a4amtcpe57cd5mtd7dpqzpg6p,cosmosvaloper1qmr8acxu0d9ytase8v9mza6k96y479getstqn2,171501
cosmosvalcons1gk3kk2ccwstmexjg3gv7wx6gh4qhjnmceac446,cosmosvaloper1qa8jpt4kuqq73vgen2w7julkelgursygqx4y69,2999778
cosmosvalcons17ktnf2yk5a5fgd4uxs3zgn7cv2hp38zuw8j35e,cosmosvaloper1qaa9zej9a0ge3ugpx3pxyx602lxh3ztqgfnp42,4665828056459
cosmosvalcons10fqk678xexhu7y2ef89qjtnphnvahzsc30vjap,cosmosvaloper1pz0lfq40sa63n0wany3v95x3yvznc5gyf8u28w,2157215553
cosmosvalcons1pcz3kz9up2645an95vvnrymt0ph4w30hnj8kkt,cosmosvaloper1prvhg36trh0y7dajrlny6h9qhp0cpwh0nl3p7k,1105861
cosmosvalcons1ekmua5s54mkhahv3etzlduqxhc8twarzj2aqgr,cosmosvaloper1pxsmjzan4u833l5s72pzamlurcgk2g5m65xjlj,8000062
cosmosvalcons1rcswqaqrp75nsdk2htkktqwkc34w7er32r52xy,cosmosvaloper1pgsjyvkg3y2m7qas534zzdhsqsxqyph2jh3uck,162058968
