address,start_height,index_offset,jailed_until,tombstoned,missed_blocks_counter
cosmosvalcons1qqqqrezrl53hujmpdch6d805ac75n220ku09rl,0,26646878,1970-01-01T00:00:00Z,False,0
cosmosvalcons1qq92t2l4jz5pt67tmts8ptl4p0jhr6utx5xa8y,0,26931593,1970-01-01T00:00:00Z,False,32
cosmosvalcons1qq0lw964szlkhgxulsak9k3g7c3j8jwvvd0600,0,558390,1970-01-01T00:00:00Z,False,0
cosmosvalcons1qzp59h4v5sgxf5d72v6gspj475m6nrluy4grs9,0,692329,1970-01-01T00:00:00Z,False,0
cosmosvalcons1qzgr0sk82ce080u78xs3cr5pat9jvtv7k85ajv,10199254,13334259,1970-01-01T00:00:00Z,False,0
cosmosvalcons1qrxwan7srvknxwsm264l0nlc56uw6fd3mq0s7v,20335942,3285359,2024-05-08T07:36:19.221875051Z,False,2
cosmosvalcons1qxdeeg55f57vxmruwv5rau743etv3fw530uf8x,0,23913353,2019-11-10T09:44:39.548038382Z,False,4
cosmosvalcons1qfrrfn5hhr7r7mrfvju4qs54epaaxd8cz5x46j,22443500,3033960,1970-01-01T00:00:00Z,False,0
cosmosvalcons1q23y3jrv0rkk4qjd2y9gk74yc8ffp5kutd0kwy,0,1260996,1970-01-01T00:00:00Z,False,0
cosmosvalcons1q2msmge7mw3jpj8v8vek5vkjnk5m5fg4janhzv,8704502,6521,1970-01-01T00:00:00Z,False,6521
cosmosvalcons1qvntfgwexyztmdfdgr768prmas8xgser8g94cd,22571465,0,1970-01-01T00:00:00Z,False,0
cosmosvalcons1qj6zmfv6gdrajwznv5vwyguzpr92te9nc93dvx,22452993,50654,1970-01-01T00:00:00Z,False,7
cosmosvalcons1qkzeaxrz5e5qm04t2ypk9sgtzesmjap63hewkf,4222317,4889379,2022-03-30T20:39:10.002576163Z,False,20
cosmosvalcons1qcyakfwwhsxckjg593wykuu933s35ssp5p4p5d,5219795,2,2021-02-20T23:00:35.984920385Z,False,2
cosmosvalcons1qex0qkzhk4t0a436cv5zrlusgvfdpukghc302f,0,4153913,1970-01-01T00:00:00Z,False,3
cosmosvalcons1qmeevnj047ym0kqc2fdsal2680ffhncpp8avs5,23529054,0,1970-01-01T00:00:00Z,False,0
cosmosvalcons1qa75pzrewfn5vuxug9ff72cvhcnuyk4n50mxtn,0,287724,1970-01-01T00:00:00Z,False,486
cosmosvalcons1q78p8uewhvqclp077y5sr93un83v5q9jpne2pd,1974900,2,2021-04-06T11:02:57.899795838Z,False,2
cosmosvalcons1pqr96s9e6jk4zf4v7zavsqesjjp4wg8axrqrzs,18037857,5495656,1970-01-01T00:00:00Z,False,18
cosmosvalcons1pzwwmhmkjfqf6nh2muvzwwtt8g2jnkrpgupyd2,22924882,303104,1970-01-01T00:00:00Z,False,0
cosmosvalcons1prcacwwfjesnpwtq36uvyd86y96rv8azq63ken,10096894,13393705,2023-06-15T02:16:37.025594692Z,False,0
cosmosvalcons1py6l8h6s693ccd0384h4wstg76hz9y8md9g247,10117533,312849,1970-01-01T00:00:00Z,False,7
cosmosvalcons1pyuu6hhg3ahyzqgh2zty2zajt5kl4t8gchwand,15052987,8480526,1970-01-01T00:00:00Z,False,2
cosmosvalcons1px0zkz2cxvc6lh34uhafveea9jnaagckmrlsye,0,26935511,1970-01-01T00:00:00Z,False,17
cosmosvalcons1p2a6xmz5m5x2dfus4muk5qw58yhrvdzltw4q4u,1132,18623858,2023-09-09T06:27:31.169249965Z,False,0
cosmosvalcons1p273248gf387pexjqxnwrtpjjdku4qd6yvtgm3,3481344,2,2021-02-19T08:14:49.467032067Z,False,2
cosmosvalcons1pdpwglc4fcjdzqvyhvfwxg684trpc6uqck5sxk,7649806,15883707,1970-01-01T00:00:00Z,False,2
cosmosvalcons1pjd3x7fu47j2mxkz87rztklrgca4mvkuhyaw2a,52549,2,2019-12-28T03:54:24.513688565Z,False,2
cosmosvalcons1p5scdpmdymvg9aa72r0dj27nedfc8q2r3zermn,0,2,2021-06-12T21:39:11.306443516Z,False,2
cosmosvalcons1p426sx80udjfxhw7pyv5tnk03ym8h7vt9qlhgu,171082,2,2021-02-10T15:11:39.658954956Z,False,2
cosmosvalcons1pcz3kz9up2645an95vvnrymt0ph4w30hnj8kkt,5230670,2,2021-02-21T20:34:31.738746239Z,False,2
cosmosvalcons1p6v2th6f3aweu4g3mu9nru5effmmelfcg0ecsx,0,271700,1970-01-01T00:00:00Z,False,0
cosmosvalcons1p7gcgvfkwnjqu4lzteea74ngatm00vvqha7dy4,21844702,3624122,2024-03-28T03:26:15.547866994Z,False,6
cosmosvalcons1p7tat3q6cw5ptslt3hcd58nvm4w3ztaxeez3pz,7639124,2,2021-09-13T12:51:58.088310359Z,False,2
cosmosvalcons1p7s0vhx5kr48mcvs92jldugmg5dmfh7ry3r935,5289604,2,2021-09-12T17:15:44.945827575Z,False,2
cosmosvalcons1zpszp9f4dgchcz5rpjmyg7rhc4pldq2d4r0u6d,5274138,100334,1970-01-01T00:00:00Z,False,0
cosmosvalcons1zz8y0lqms4r0nrm755hj237vg3yhmvdl3ss6aw,7685172,15179062,1970-01-01T00:00:00Z,False,1
cosmosvalcons1ztp25r0xd73ln4ny6q746mmdsgttdk5p8yupga,7839814,15693699,1970-01-01T00:00:00Z,False,1
cosmosvalcons1z0hr7p0jp34d3lf8e0hn8htp6hueanm0r04wd0,9908067,13625446,1970-01-01T00:00:00Z,False,15
cosmosvalcons1zh6gz89dxfnqtz4pstf7ljxemg4y54l832cclm,19652423,3881090,1970-01-01T00:00:00Z,False,2
cosmosvalcons1zckma638v6hj0cfk8dvr5tuptpm5m7n04w8vl3,10829389,773874,1970-01-01T00:00:00Z,False,5
cosmosvalcons1zcu7xjr06a09g3ll6f3r92q0rt88dnv29cly94,18037813,5495700,1970-01-01T00:00:00Z,False,0
cosmosvalcons1z6a9tflc80ywzetfplkk6yy40vd9raujd08f0t,1,2,2021-02-20T04:54:15.156224618Z,False,2
cosmosvalcons1zu87l4kh7jnf4tns5fzptlzw9jfgmch9q25f5v,7639124,15894389,1970-01-01T00:00:00Z,False,32
cosmosvalcons1rrrc6y6unkqawnmzxnday6xy0u8cn6zyl5yhtr,0,2,2020-09-15T10:58:40.117388935Z,False,2
cosmosvalcons1r9w22dkhgx23aflxheyv3ct5x2ux28q9tmvvgd,8810803,83256,1970-01-01T00:00:00Z,False,0
cosmosvalcons1rxmc3l8jzvqz5q3tll5crev2azncq8egfntczu,1,2717,9999-12-31T23:59:59Z,True,1
cosmosvalcons1rfr0zuf8e77twwxhq5cmpknsmkmlplz6rap75l,0,24020,1970-01-01T00:00:00Z,False,28
cosmosvalcons1rtst6se0nfgjy362v33jt5d05crgdyhfvvvvay,0,26436539,1970-01-01T00:00:00Z,False,34
cosmosvalcons1rt4g447zhv6jcqwdl447y88guwm0eevnrelgzc,14778937,8206874,1970-01-01T00:00:00Z,False,22
cosmosvalcons1rdw0cnp74ztrwcwutgetr6xyy02e6jyw7je75h,0,7747,1970-01-01T00:00:00Z,False,0
cosmosvalcons1rwefvuqddl8jxx92mgksnrjdgprekmr79r2t07,7639124,10988896,1970-01-01T00:00:00Z,False,56
cosmosvalcons1rnknqueazcju3x4knpnhvpksudanva4f08558z,0,25293478,1970-01-01T00:00:00Z,False,0
cosmosvalcons1r5yvrtymrfwhrd95h9dsv4xnav7tez06vpy92p,5271174,2,2021-02-25T21:25:51.170400186Z,False,2
cosmosvalcons1r557640leqeq7c9wdvxapyw79acnlj2a903456,22490772,2429656,1970-01-01T00:00:00Z,False,17
cosmosvalcons1rcswqaqrp75nsdk2htkktqwkc34w7er32r52xy,1276519,2,2021-02-11T10:33:46.255183065Z,False,2
cosmosvalcons1r6wwjn7shfw0awgply9uvkxkfkzmzdxjyma30v,0,15874686,1970-01-01T00:00:00Z,False,0
cosmosvalcons1rm28rje5uwp3z9zsnrvqxc2rg4v09uw8trcndm,3724341,6685768,1970-01-01T00:00:00Z,False,52
cosmosvalcons1yy3rgawwsmeu0n27npd23r7zfg5uj7qnk6xvj2,1,23533511,1970-01-01T00:00:00Z,False,108
cosmosvalcons1yyh9n626435fj0tyayk3s352cn8hj5d4pfa0mz,483,491858,1970-01-01T00:00:00Z,False,2
cosmosvalcons1yxv746y5egu3l2p0q8pvv99lavgr6ptvdhx306,0,26935511,1970-01-01T00:00:00Z,False,3
cosmosvalcons1ygzptuwvgqs6lv2ne68n4r4hphy37k9dzegwjj,12507920,9044526,2023-03-05T07:11:06.047048582Z,False,442
cosmosvalcons1yspgq5t6sfmp33lv5d3gun5pstmdcenaqgded2,33431,2,2019-12-15T04:56:43.861334769Z,False,2
cosmosvalcons1ysx7ja5fgvlef752n9s79gzqtg9kpqxrhcxfz4,0,2,2021-02-24T03:56:48.305400107Z,False,2
cosmosvalcons1y35q3lcg7wpwkq8pyh6s3zm0uv4e0zzhvncv7h,0,2571255,1970-01-01T00:00:00Z,False,0
